date,extreme,over_bought,over_sold
2022-01-26 13:08:00,956.6400146484375,,33.28382559347561
2022-01-26 13:36:00,956.5900268554688,,48.37467777809009
2022-01-26 14:20:00,962.4630737304688,,62.3449398612735
2022-01-26 15:14:00,923.97998046875,,52.30316151778721
2022-01-27 10:08:00,891.969970703125,50.16089432879587,
2022-01-27 11:02:00,873.0,59.708197777657205,
2022-01-27 11:48:00,875.1099853515625,49.95415355368736,
2022-01-27 12:56:00,866.030029296875,52.320967753507944,
2022-01-27 13:26:00,857.1400146484375,39.862046070859215,
2022-01-27 14:04:00,863.8099975585938,63.300918123623035,
2022-01-27 15:42:00,840.1380004882812,55.74950190896988,
2022-01-27 10:02:00,887.0001220703125,,41.815227881875565
2022-01-27 10:44:00,871.5,,46.373753728438324
2022-01-27 11:26:00,866.5750122070312,,40.64844022751638
